ID	FEATURES
<ice-ind:s1a-081#34:1:b>	#N/A
<ice-ind:s1a-063#110:1:b>	article omission
<ice-ind:s1a-063#110:1:b>	left dislocation, object fronting
<ice-ind:s1a-046#119:1:a>	invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-038#15:1:a>	preposition omission
<ice-ind:s1a-019#103:1:b>	#N/A
<ice-ind:s1a-099#322:2:c>	#N/A
<ice-ind:s1a-032#149:1:b>	#N/A
<ice-ind:s1a-033#121:1:b>	#N/A
<ice-ind:s1a-029#38:1:a>	#N/A
<ice-ind:s1a-033#159:1:b>	lack of agreement
<ice-ind:s1a-047#48:1:b>	#N/A
<ice-ind:s1a-047#48:1:b>	left dislocation
<ice-ind:s1a-077#19:1:a>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-093#22:1:b>	#N/A
<ice-ind:s1a-071#213:1:a>	general extender 'and all'
<ice-ind:s1a-028#77:1:a>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-020#68:1:a>	#N/A
<ice-ind:s1a-014#208:1:a>	left dislocation, object fronting
<ice-ind:s1a-021#107:1:c>	#N/A
<ice-ind:s1a-054#202:1:a>	article omission
<ice-ind:s1a-079#161:1:a>	#N/A
<ice-ind:s1a-079#161:1:a>	mass nouns as count nouns, extraneous article
<ice-ind:s1a-079#161:1:a>	#N/A
<ice-ind:s1a-003#137:1:b>	#N/A
<ice-ind:s1a-040#126:1:a>	#N/A
<ice-ind:s1a-055#155:1:b>	#N/A
<ice-ind:s1a-025#150:1:c>	#N/A
<ice-ind:s1a-080#245:1:b>	extraneous article
<ice-ind:s1a-009#150:1:a>	#N/A
<ice-ind:s1a-097#324:3:c>	#N/A
<ice-ind:s1a-094#363:3:a>	focus 'only'
<ice-ind:s1a-083#108:1:a>	article omission
<ice-ind:s1a-086#18:1:b>	article omission
<ice-ind:s1a-093#9:1:b>	#N/A
<ice-ind:s1a-024#204:1:b>	article omission, left dislocation
<ice-ind:s1a-064#139:1:b>	#N/A
<ice-ind:s1a-063#69:1:a>	article omission
<ice-ind:s1a-063#69:1:a>	#N/A
<ice-ind:s1a-092#37:1:a>	#N/A
<ice-ind:s1a-090#23:1:b>	focus 'itself'
<ice-ind:s1a-078#58:1:a>	#N/A
<ice-ind:s1a-002#210:1:a>	#N/A
<ice-ind:s1a-022#47:1:a>	#N/A
<ice-ind:s1a-001#14:1:b>	#N/A
<ice-ind:s1a-088#65:1:a>	lack of agreement
<ice-ind:s1a-008#108:1:a>	article omission
<ice-ind:s1a-089#79:1:b>	#N/A
<ice-ind:s1a-003#16:1:a>	invariant tag ('isn't it', 'no', 'na')
<ice-ind:s1a-057#128:1:b>	#N/A
